PASSAGEIROS PAGOS,PASSAGEIROS GRÁTIS,CARGA PAGA (KG),ASK,RPK,ATK,RTK,DISTÂNCIA VOADA (KM),DECOLAGENS,CORREIO KM,HORAS VOADAS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.0,1.0,0.0,"2,5"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,1.0,0.0,"1,533"
22.0,0.0,0.0,89350.0,39314.0,8935.0,3538.0,1787.0,1.0,0.0,"2,65"
58.0,0.0,0.0,107900.0,62582.0,10790.0,5632.0,2158.0,2.0,0.0,"4,783"
5231.0,257.0,81807.0,55161300.0,44039800.0,10607900.0,4666170.0,235732.0,28.0,13874500.0,"284,152"
7541.0,286.0,173929.0,72835700.0,62168000.0,11500400.0,7039340.0,255564.0,31.0,10371000.0,"313,086"
7348.0,247.0,30108.0,65170900.0,56792700.0,10782000.0,5371010.0,239599.0,31.0,26974200.0,"294,467"
8017.0,158.0,200956.0,67711400.0,61442300.0,10691300.0,7113700.0,237584.0,31.0,43784400.0,"293,618"
10713.0,303.0,106360.0,77957500.0,71959200.0,14206500.0,7224200.0,315699.0,47.0,33470800.0,391
23928.0,619.0,630962.0,174080000.0,157303000.0,29944600.0,18327800.0,611382.0,93.0,22634300.0,"784,219"
6315.0,247.0,8546.0,57560700.0,53166000.0,10986800.0,4856890.0,244151.0,29.0,16838.0,"300,116"
7625.0,242.0,44696.0,65170900.0,58933600.0,10782000.0,5649470.0,239599.0,31.0,0.0,"300,534"
11145.0,312.0,209369.0,77957500.0,74861000.0,14206500.0,8174760.0,315699.0,47.0,30965400.0,"395,033"
8096.0,239.0,299564.0,72835700.0,66743400.0,11500400.0,8503730.0,255564.0,31.0,27229900.0,"308,201"
8312.0,144.0,293829.0,67711400.0,63703200.0,10691300.0,7985180.0,237584.0,31.0,0.0,"297,884"
24118.0,682.0,1018564.0,172081000.0,158552000.0,29517300.0,21215700.0,604808.0,92.0,250062000.0,"763,352"
1089.0,53.0,18858.0,9850230.0,9168290.0,1894280.0,985349.0,42095.0,5.0,1439650.0,"50,833"
6827.0,326.0,169732.0,65787100.0,56281800.0,10387400.0,6475680.0,230832.0,28.0,11063400.0,"279,68"
6780.0,260.0,72298.0,58864100.0,52402600.0,9738540.0,5302340.0,216412.0,28.0,27322000.0,"263,566"
6860.0,148.0,209617.0,61158700.0,52575000.0,9656640.0,6380960.0,214592.0,28.0,42711500.0,"264,182"
9251.0,234.0,146266.0,66276600.0,62139000.0,12090600.0,6614200.0,268680.0,40.0,39247400.0,"328,767"
20568.0,808.0,570024.0,156514000.0,135214000.0,26821900.0,15946400.0,552216.0,84.0,29793400.0,"702,418"
909.0,25.0,12288.0,7880180.0,7652870.0,1515420.0,792209.0,33676.0,4.0,0.0,"42,983"
5239.0,262.0,91484.0,58864100.0,40492200.0,9738540.0,4351370.0,216412.0,28.0,0.0,"271,783"
8319.0,335.0,333922.0,65934000.0,55878700.0,12090600.0,7319560.0,268680.0,40.0,47536200.0,"338,114"
6773.0,248.0,320629.0,65787100.0,55836600.0,10387400.0,7692880.0,230832.0,28.0,24336300.0,"285,983"
5914.0,155.0,254867.0,61158700.0,45324900.0,9656640.0,6087320.0,214592.0,28.0,54789900.0,"271,115"
18208.0,592.0,1133234.0,156514000.0,119699000.0,26821900.0,18360600.0,552216.0,84.0,137824000.0,"698,706"
5204.0,354.0,39094.0,55910600.0,43812500.0,10607900.0,4277230.0,235732.0,28.0,4992470.0,"280,834"
7191.0,315.0,232890.0,72283400.0,59282600.0,11500400.0,7265420.0,255564.0,31.0,10057700.0,"309,867"
6403.0,403.0,56103.0,60966400.0,49488800.0,10086300.0,4918160.0,224141.0,29.0,30560500.0,"270,201"
7252.0,159.0,301331.0,67611800.0,55579300.0,10691300.0,7359250.0,237584.0,31.0,47723700.0,"293,982"
9715.0,366.0,96631.0,73497400.0,65255700.0,13299700.0,6571080.0,295548.0,44.0,49020700.0,"360,2"
250.0,8.0,9855.0,1788130.0,1643500.0,295830.0,212701.0,6574.0,1.0,0.0,"8,733"
20985.0,705.0,903626.0,165165000.0,137955000.0,28366800.0,18390300.0,585086.0,89.0,33935000.0,"741,352"
5819.0,414.0,14283.0,57560700.0,48990200.0,10986800.0,4529350.0,244151.0,29.0,0.0,"313,301"
6695.0,400.0,161764.0,60966400.0,51745700.0,10086300.0,5907370.0,224141.0,29.0,0.0,"280,9"
9904.0,404.0,354344.0,73242100.0,66525200.0,13299700.0,8389900.0,295548.0,44.0,22535500.0,"376,416"
7522.0,374.0,331712.0,72308100.0,62011400.0,11500400.0,8340270.0,255564.0,31.0,24633100.0,"320,882"
7336.0,202.0,346108.0,67512200.0,56223100.0,10691300.0,7730170.0,237584.0,31.0,17535200.0,"294,466"
20550.0,788.0,1233113.0,170740000.0,135096000.0,29320000.0,20500300.0,604808.0,92.0,235237000.0,"773,835"
6849.0,289.0,235337.0,70486200.0,56463200.0,11129400.0,7035550.0,247320.0,30.0,13759200.0,"307,316"
0.0,0.0,0.0,103170.0,100998.0,16290.0,12061.0,362.0,1.0,133578.0,"1,617"
6621.0,185.0,242476.0,65504200.0,50743300.0,10346400.0,6470690.0,229920.0,30.0,45470500.0,"285,418"
7101.0,218.0,162013.0,52970300.0,47697400.0,8765680.0,5449220.0,194793.0,29.0,68231300.0,"238,9"
13383.0,562.0,544529.0,104901000.0,87979900.0,19426200.0,11520300.0,387866.0,59.0,22443600.0,"487,837"
