ANO,MÊS,AEROPORTO DE ORIGEM (SIGLA),AEROPORTO DE ORIGEM (NOME),AEROPORTO DE DESTINO (NOME),NATUREZA
2025,4,SBEG,MANAUS,BOGOTÁ,INTERNACIONAL
2025,4,SBEG,MANAUS,GEORGETOWN,INTERNACIONAL
2025,4,SKBO,BOGOTÁ,MANAUS,INTERNACIONAL
2025,4,SYCJ,GEORGETOWN,MANAUS,INTERNACIONAL
2025,1,KDFW,"DALLAS & FORT WORTH, TEXAS",RIO DE JANEIRO,INTERNACIONAL
2025,1,KDFW,"DALLAS & FORT WORTH, TEXAS",GUARULHOS,INTERNACIONAL
2025,1,KJFK,"NEW YORK, NEW YORK",RIO DE JANEIRO,INTERNACIONAL
2025,1,KJFK,"NEW YORK, NEW YORK",GUARULHOS,INTERNACIONAL
2025,1,KMIA,"MIAMI, FLORIDA",RIO DE JANEIRO,INTERNACIONAL
2025,1,KMIA,"MIAMI, FLORIDA",GUARULHOS,INTERNACIONAL
2025,1,SBGL,RIO DE JANEIRO,"DALLAS & FORT WORTH, TEXAS",INTERNACIONAL
2025,1,SBGL,RIO DE JANEIRO,"NEW YORK, NEW YORK",INTERNACIONAL
2025,1,SBGL,RIO DE JANEIRO,"MIAMI, FLORIDA",INTERNACIONAL
2025,1,SBGR,GUARULHOS,"DALLAS & FORT WORTH, TEXAS",INTERNACIONAL
2025,1,SBGR,GUARULHOS,"NEW YORK, NEW YORK",INTERNACIONAL
2025,1,SBGR,GUARULHOS,"MIAMI, FLORIDA",INTERNACIONAL
2025,2,KDFW,"DALLAS & FORT WORTH, TEXAS",RIO DE JANEIRO,INTERNACIONAL
2025,2,KDFW,"DALLAS & FORT WORTH, TEXAS",GUARULHOS,INTERNACIONAL
2025,2,KJFK,"NEW YORK, NEW YORK",RIO DE JANEIRO,INTERNACIONAL
2025,2,KJFK,"NEW YORK, NEW YORK",GUARULHOS,INTERNACIONAL
2025,2,KMIA,"MIAMI, FLORIDA",RIO DE JANEIRO,INTERNACIONAL
2025,2,KMIA,"MIAMI, FLORIDA",GUARULHOS,INTERNACIONAL
2025,2,SBGL,RIO DE JANEIRO,"DALLAS & FORT WORTH, TEXAS",INTERNACIONAL
2025,2,SBGL,RIO DE JANEIRO,"NEW YORK, NEW YORK",INTERNACIONAL
2025,2,SBGL,RIO DE JANEIRO,"MIAMI, FLORIDA",INTERNACIONAL
2025,2,SBGR,GUARULHOS,"DALLAS & FORT WORTH, TEXAS",INTERNACIONAL
2025,2,SBGR,GUARULHOS,"NEW YORK, NEW YORK",INTERNACIONAL
2025,2,SBGR,GUARULHOS,"MIAMI, FLORIDA",INTERNACIONAL
2025,3,KDFW,"DALLAS & FORT WORTH, TEXAS",RIO DE JANEIRO,INTERNACIONAL
2025,3,KDFW,"DALLAS & FORT WORTH, TEXAS",GUARULHOS,INTERNACIONAL
2025,3,KJFK,"NEW YORK, NEW YORK",RIO DE JANEIRO,INTERNACIONAL
