EMPRESA (SIGLA),EMPRESA (NOME),EMPRESA (NACIONALIDADE)
1ED,SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S,ESTRANGEIRA
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA
ACA,AIR CANADA,ESTRANGEIRA
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA
AEA,AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA,ESTRANGEIRA
AFR,SOCIÉTÉ AIR FRANCE,ESTRANGEIRA
AJB,AMERICAN JET S.A.,ESTRANGEIRA
AMX,AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO,ESTRANGEIRA
ANS,ANDES LINEAS AEREAS,ESTRANGEIRA
ARE,AIRES - AEROVÍAS DE INTEGRACÍON REGIONAL S.A.,ESTRANGEIRA
ARG,AEROLINEAS ARGENTINAS S/A,ESTRANGEIRA
AVA,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,ESTRANGEIRA
AXY,AIR X CHARTER LTD,ESTRANGEIRA
AZP,COMPAÑIA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),ESTRANGEIRA
AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,BRASILEIRA
BAW,BRITISH AIRWAYS PLC,ESTRANGEIRA
BOV,BOA BOLIVIANA DE AVIACIÓN,ESTRANGEIRA
BUY,FREEDOM II BERMUDA LIMITED,ESTRANGEIRA
CCA,AIR CHINA,ESTRANGEIRA
CJT,CARGOJET AIRWAYS LTD.,ESTRANGEIRA
CKS,KALITTA AIR LLC,ESTRANGEIRA
CLX,CARGOLUX AIRLINES INTERNATIONAL S/A,ESTRANGEIRA
CMP,COMPAÑIA PANAMEÑA DE AVIACION S.A. (COPA AIRLINES),ESTRANGEIRA
CQB,APUÍ TÁXI AÉREO S/A,BRASILEIRA
CVK,CAVOK AIR,ESTRANGEIRA
CXB,COMLUX ARUBA NV,ESTRANGEIRA
DAE,DHL AERO EXPRESO,ESTRANGEIRA
DAL,DELTA AIR LINES INC.,ESTRANGEIRA
DLH,DEUTSCHE LUFTHANSA A.G.,ESTRANGEIRA
DTA,TAAG LINHAS AÉREAS DE ANGOLA (ANGOLA AIRLINES),ESTRANGEIRA
DWI,ARAJET S.A.,ESTRANGEIRA
ETH,ETHIOPIAN AIRLINES GROUP,ESTRANGEIRA
ETR,ESTELAR LATINOAMERICA C.A.,ESTRANGEIRA
FBZ,FB LÍNEAS AÉREAS S.A (FLYBONDI),ESTRANGEIRA
FDX,FEDEX - FEDERAL EXPRESS CORPORATION,ESTRANGEIRA
GEC,LUFTHANSA CARGO AG,ESTRANGEIRA
GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),BRASILEIRA
GTI,ATLAS AIR INC,ESTRANGEIRA
GXA,"GLOBAL CROSSING AIRLINES, INC.",ESTRANGEIRA
